nbjet,ptb1,ptb2,pth,etab1,etab2,etah,mbb,mb1h,mbbh,mt4,dphibb,class,weight
0,58.6777,5.58887,59.7237,2.29704,-3.88455,2.6919,0,201.049,666.061,51.1542,1.42912,2,-9.29389e-06
0,21.8142,5.69405,16.7107,3.21741,-3.91692,3.11451,398.308,194.077,558.653,38.9273,2.7439,2,-9.29389e-06
0,30.9478,6.78841,29.308,2.07922,-0.903014,-0.639479,395.119,234.501,249.073,41.9659,1.92286,2,-9.29389e-06
0,17.3627,9.29437,25.3726,-0.0392078,1.14423,1.62326,67.8356,147.251,160.036,38.9668,0.655202,2,-9.29389e-06
0,22.7053,5.84277,28.5475,-0.220913,0.72934,1.45903,20.1124,155.577,163.345,39.7012,0.0156884,2,9.29389e-06
0,54.6374,17.034,42.5193,0.683438,1.70493,1.01453,15.4607,187.895,219.125,51.1254,2.479,2,-9.29389e-06
0,30.2807,18.4346,46.9403,-0.420175,5.0387,2.66763,66.8864,226.625,506.684,45.7863,0.558757,2,-9.29389e-06
0,9.43395,6.6164,3.9999,0.514135,-4.18174,1.67975,362.058,136.108,291.127,35.8995,2.78027,2,-9.29389e-06
0,11.0179,8.09717,17.5351,1.90604,-4.74727,-5.25811,86.0323,516.678,584.174,36.8647,0.829207,2,-9.29389e-06
0,20.7767,7.06502,25.7655,-0.812044,-1.45031,-2.97846,263.348,152.531,161.121,39.3308,0.90095,2,9.29389e-06
0,10.0536,5.467,11.4267,-0.348898,-0.239023,-2.59872,16.2374,136.798,144.511,35.9252,1.57439,2,9.29389e-06
0,29.6983,8.96264,38.5898,-0.795305,-2.40296,-2.7817,14.1902,168.91,182.821,42.7339,0.143834,2,-9.29389e-06
0,14.0019,1.97068,15.8376,0.507798,4.66972,5.2954,30.6596,211.934,219.739,36.4291,0.397128,2,-9.29389e-06
0,5.5709,1.54003,4.99503,-3.26251,2.1124,-2.64229,43.6174,172.016,184.872,34.2859,2.08613,2,-9.29389e-06
0,11.3361,3.02097,14.3494,2.16463,0.957145,1.23908,46.019,163.112,168.689,35.8835,0.0802599,2,9.29389e-06
0,22.1653,3.47616,24.744,0.223283,1.93517,3.78555,17.1154,192.967,199.008,38.9522,0.786171,2,9.29389e-06
0,3.80225,2.59315,6.06037,-0.393237,5.12944,3.89641,20.5744,136.166,204.748,34.0906,0.662619,2,-9.29389e-06
0,16.6182,8.94095,19.9463,1.61385,-2.26203,-2.01038,58.2383,186.696,220.894,38.4662,1.42983,2,-9.29389e-06
0,66.5906,5.1421,70.3907,-1.73962,1.62461,-0.0462258,84.9152,282.709,307.237,54.2727,0.764825,2,-9.29389e-06
0,17.8011,8.98545,9.98469,0.204661,2.22474,4.85183,98.7675,188.944,199.39,38.4661,2.76875,2,-9.29389e-06
0,5.3833,2.24324,4.49507,2.11904,-3.13125,4.17018,40.2997,134.766,195,34.3122,2.1793,2,-9.29389e-06
0,5.53378,2.24444,7.4381,-0.645125,0.964028,4.95176,48.9904,168.957,179.424,34.3762,0.657282,2,-9.29389e-06
